Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
5,5,6,7,-0.9001,-1,15.9001,14.0999
14,14,15,14,-0.10020000000000001,-1,15.1002,14.8998
23,23,24,24,-0.1003,-1,15.1003,14.8997
39,40,39,39,1.6998000000000002,1,13.3002,16.6998
48,51,50,49,-0.8002,0,15.8002,14.1998
58,60,59,58,-1.8004000000000002,-2,16.8004,13.1996
69,69,69,69,0.6995,-1,14.3005,15.6995
77,78,78,78,-0.10060000000000001,-1,15.1006,14.8994
85,86,88,87,-1.9009,-3,16.9009,13.0991
95,95,98,97,-2.1014,-5,17.101399999999998,12.8986
101,104,105,103,0.3982,-4,14.6018,15.3982
111,114,114,111,-0.4022,-4,15.4022,14.5978
120,123,122,117,0.4975,-3,14.5025,15.4975
131,134,131,127,0.5973,-2,14.4027,15.5973
142,149,143,137,1.5973000000000002,0,13.4027,16.5973
148,156,152,145,-1.8029000000000002,-2,16.8029,13.197099999999999
154,164,157,149,-1.1032000000000002,-3,16.1032,13.896799999999999
161,171,163,155,-0.30350000000000005,-3,15.3035,14.6965
169,179,173,162,0.5963,-2,14.4037,15.5963
173,183,177,165,-2.0041,-4,17.0041,12.995899999999999
182,190,185,173,-0.4045,-4,15.4045,14.5955
191,199,194,181,-0.40490000000000004,-4,15.4049,14.5951
197,205,202,188,-0.40530000000000005,-4,15.4053,14.5947
203,213,209,195,-2.2059,-6,17.2059,12.7941
213,227,220,208,0.2936000000000001,-5,14.7064,15.2936
220,236,229,217,-4.1073,-9,19.107300000000002,10.8927
228,244,236,224,-0.9082,-9,15.9082,14.0918
235,251,243,231,-0.009000000000000008,-8,15.009,14.991
242,260,249,237,0.09029999999999994,-7,14.9097,15.0903
251,270,257,249,-1.6105,-8,16.610500000000002,13.3895
264,287,270,261,1.8890000000000002,-5,13.111,16.889
269,293,275,266,-0.5115,-5,15.5115,14.4885
277,301,283,274,-2.3122000000000003,-7,17.3122,12.6878
286,311,292,281,0.18719999999999992,-6,14.8128,15.1872
293,323,300,288,-2.4136,-8,17.4136,12.5864
302,332,310,296,0.0857,-7,14.9143,15.0857
309,340,317,302,-2.5152,-9,17.5152,12.4848
317,347,323,309,0.8841,-7,14.1159,15.8841
326,357,332,319,0.1835,-6,14.8165,15.1835
336,367,340,326,1.1831,-4,13.8169,16.1831
345,376,348,334,0.4828,-3,14.5172,15.4828
354,386,355,341,0.5826,-2,14.4174,15.5826
364,396,365,351,0.6825,-1,14.3175,15.6825
375,406,375,362,0.7825000000000001,0,14.2175,15.7825
383,416,384,372,-0.9176000000000001,-1,15.9176,14.0824
392,425,393,381,-0.1177,-1,15.1177,14.8823
405,436,404,390,1.6824000000000001,1,13.3176,16.6824
411,446,410,397,0.0825,1,14.9175,15.0825
423,459,422,406,0.0826,1,14.9174,15.0826
429,466,429,413,-0.8174,0,15.8174,14.1826
439,475,438,424,-0.017400000000000002,0,15.0174,14.9826
445,482,442,429,0.8827,1,14.1173,15.8827
453,491,451,437,0.08280000000000001,1,14.9172,15.0828
462,501,459,446,1.8831000000000002,3,13.1169,16.8831
468,507,467,451,0.28340000000000004,3,14.7166,15.2834
479,519,476,461,0.28370000000000006,3,14.7163,15.2837
487,528,486,472,-0.6161000000000001,2,15.6161,14.3839
494,536,494,478,-0.7160000000000001,1,15.716,14.284
500,544,501,487,-1.7161000000000002,-1,16.7161,13.2839
507,553,508,492,-0.1162,-1,15.1162,14.8838
515,559,514,497,0.7838,0,14.2162,15.7838
520,565,518,502,1.784,2,13.216,16.784
528,575,525,511,1.0843,3,13.9157,16.0843
536,587,536,519,-1.5156,1,16.5156,13.4844
544,595,542,526,-0.8156,0,15.8156,14.1844
553,603,550,533,1.7846000000000002,2,13.215399999999999,16.7846
557,607,555,538,0.18480000000000002,2,14.8152,15.1848
570,621,569,548,1.0851000000000002,3,13.9149,16.0851
577,630,578,556,-2.4149000000000003,0,17.4149,12.5851
586,639,588,564,-1.8151000000000002,-2,16.8151,13.184899999999999
595,648,597,574,-0.21530000000000002,-2,15.2153,14.7847
603,659,608,584,-2.9158000000000004,-5,17.9158,12.0842
611,668,617,593,-0.5163,-5,15.5163,14.4837
622,678,628,603,-0.5168,-5,15.5168,14.4832
632,688,639,612,-2.3175,-7,17.3175,12.682500000000001
639,695,648,618,-2.5184,-9,17.5184,12.4816
651,706,658,627,-0.9193,-9,15.9193,14.0807
