Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,2,2,0.0,0,15.0,15.0
1,0,2,3,-2.2002,-2,17.2002,12.7998
11,10,12,11,0.8996999999999999,-1,14.1003,15.8997
17,19,20,19,-0.1004,-1,15.1004,14.8996
26,28,28,26,-1.2006000000000001,-2,16.2006,13.7994
36,40,38,36,-0.2008,-2,15.2008,14.7992
47,51,50,47,-0.201,-2,15.201,14.799
54,61,58,55,-2.4014,-4,17.4014,12.5986
64,68,66,62,-0.40180000000000005,-4,15.4018,14.5982
73,77,74,70,1.798,-2,13.202,16.798000000000002
80,86,82,76,0.8979,-1,14.1021,15.8979
87,93,89,82,-1.2023,-2,16.2023,13.7977
98,104,101,95,-1.3026,-3,16.302599999999998,13.6974
109,115,110,106,1.8973,-1,13.1027,16.8973
117,122,118,113,0.9973,0,14.0027,15.9973
126,133,128,125,-3.303,-3,18.303,11.697
133,140,135,132,0.7968,-2,14.2032,15.7968
139,148,143,140,-0.20340000000000003,-2,15.2034,14.7966
145,155,150,146,-2.4038,-4,17.4038,12.5962
148,160,155,150,-3.7045,-7,18.7045,11.2955
152,166,161,153,-1.8053,-8,16.8053,13.194700000000001
158,171,166,158,-0.8061,-8,15.8061,14.1939
162,175,171,162,-0.8069000000000001,-8,15.8069,14.1931
167,180,175,167,0.2923999999999999,-7,14.7076,15.2924
172,184,179,170,-1.8084,-8,16.8084,13.1916
180,192,185,176,0.29089999999999994,-7,14.7091,15.2909
183,196,188,179,1.4904,-5,13.5096,16.4904
189,204,197,188,-2.7103,-7,17.7103,12.2897
194,208,201,193,-1.8111000000000002,-8,16.8111,13.1889
201,216,208,199,0.2881999999999999,-7,14.7118,15.2882
205,220,213,203,-0.7125,-7,15.7125,14.2875
209,225,217,208,-1.8133,-8,16.813299999999998,13.1867
213,231,223,213,-3.0143,-10,18.0143,11.9857
222,240,229,220,1.1848999999999998,-8,13.815100000000001,16.1849
229,246,235,226,1.3842999999999999,-6,13.6157,16.3843
