Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,1,0,0.0,0,15.0,15.0
1,1,2,2,-1.1001,-1,16.1001,13.8999
6,5,6,6,2.1,1,12.9,17.1
19,18,19,18,-1.0,0,16.0,14.0
24,26,26,26,-1.1001,-1,16.1001,13.8999
38,38,37,38,-0.10020000000000001,-1,15.1002,14.8998
47,47,47,48,2.0999,1,12.9001,17.099899999999998
56,60,59,61,-2.1002,-1,17.1002,12.899799999999999
63,67,67,67,-2.3005,-3,17.3005,12.6995
77,82,82,81,0.7993,-2,14.2007,15.7993
86,92,93,89,-5.7014,-7,20.7014,9.2986
96,104,104,98,-1.8022,-8,16.8022,13.1978
105,114,111,107,0.2970999999999999,-7,14.7029,15.2971
118,126,122,119,-0.7036000000000001,-7,15.7036,14.2964
128,138,132,128,2.596,-4,12.404,17.596
137,145,140,135,-0.40440000000000004,-4,15.4044,14.5956
147,156,149,143,0.6953,-3,14.3047,15.6953
157,169,161,155,0.7951,-2,14.2049,15.7951
162,173,168,159,-4.6055,-6,19.6055,10.3945
174,185,177,168,0.494,-5,14.506,15.494
185,197,187,181,2.7938,-2,12.206199999999999,17.7938
190,204,193,190,-1.3065,-3,16.3065,13.6935
200,213,203,202,-1.4069,-4,16.4069,13.5931
208,224,215,211,-1.5074,-5,16.5074,13.4926
221,236,227,224,-2.7081,-7,17.7081,12.2919
226,241,233,230,-0.7088000000000001,-7,15.7088,14.2912
239,257,244,242,1.4907,-5,13.5093,16.4907
253,270,255,250,0.5903,-4,14.4097,15.5903
261,281,263,258,1.7901,-2,13.2099,16.7901
269,291,273,268,-0.2101,-2,15.2101,14.7899
278,303,284,280,-2.4105,-4,17.4105,12.589500000000001
291,315,294,289,-1.5110000000000001,-5,16.511,13.489
298,323,301,296,1.6886999999999999,-3,13.3113,16.6887
309,334,311,308,-1.4117,-4,16.4117,13.5883
319,346,320,317,0.688,-3,14.312,15.688
331,356,332,326,-0.3123,-3,15.3123,14.6877
342,368,341,336,1.8876,-1,13.112400000000001,16.8876
353,379,352,348,0.9876,0,14.0124,15.9876
357,383,356,352,2.1878,2,12.8122,17.1878
363,393,365,360,-2.0122,0,17.0122,12.9878
373,403,375,369,-3.3125,-3,18.3125,11.6875
385,416,386,381,0.7873,-2,14.2127,15.7873
393,426,397,389,-1.3130000000000002,-3,16.313,13.687
399,432,403,396,-2.5135,-5,17.5135,12.4865
410,444,413,408,1.6862,-3,13.3138,16.6862
417,451,420,416,-0.31410000000000005,-3,15.3141,14.6859
427,461,431,427,-0.31440000000000007,-3,15.314400000000001,14.685599999999999
435,470,439,436,-2.5149,-5,17.5149,12.4851
449,486,450,445,1.6848,-3,13.3152,16.6848
455,491,454,449,1.8847,-1,13.1153,16.8847
463,499,461,456,2.0848,1,12.9152,17.0848
473,509,471,467,1.185,2,13.815,16.185
486,522,484,479,-0.9149,1,15.9149,14.0851
497,532,496,490,-2.115,-1,17.115000000000002,12.885
510,545,509,502,3.1852,2,11.8148,18.185200000000002
520,553,517,511,-0.9147,1,15.9147,14.0853
527,562,524,520,1.1855,2,13.8145,16.1855
534,571,536,530,-2.0145,0,17.014499999999998,12.9855
546,580,545,541,-0.0145,0,15.0145,14.9855
554,590,554,551,-0.0145,0,15.0145,14.9855
563,602,566,562,-2.2147,-2,17.2147,12.7853
572,613,578,573,-2.4151,-4,17.4151,12.584900000000001
581,620,585,579,-2.6157000000000004,-6,17.6157,12.3843
589,628,592,586,1.5838999999999999,-4,13.4161,16.5839
600,642,605,601,-0.41650000000000004,-4,15.4165,14.5835
611,652,618,612,-3.7172,-7,18.7172,11.2828
624,661,627,621,0.3821999999999999,-6,14.6178,15.3822
632,673,637,631,2.6818999999999997,-3,12.318100000000001,17.6819
644,685,649,644,-2.5186,-5,17.5186,12.4814
654,696,661,656,-0.5191,-5,15.5191,14.4809
664,704,668,666,-1.6197000000000001,-6,16.6197,13.3803
675,715,678,675,0.4798,-5,14.520199999999999,15.479800000000001
685,729,690,685,1.6795,-3,13.3205,16.6795
692,736,697,693,-2.521,-5,17.521,12.479
703,746,707,703,0.5786,-4,14.4214,15.5786
712,754,716,710,-2.622,-6,17.622,12.378
723,766,726,722,1.5776,-4,13.4224,16.5776
735,779,738,731,1.7774,-2,13.2226,16.7774
744,789,750,741,-2.423,-4,17.423000000000002,12.577
756,800,762,753,-2.6236,-6,17.6236,12.3764
766,810,771,764,-0.6242000000000001,-6,15.6242,14.3758
771,815,775,769,1.5754,-4,13.4246,16.5754
783,828,786,781,0.6751,-3,14.3249,15.6751
790,835,792,788,-0.32520000000000004,-3,15.3252,14.6748
799,845,800,797,1.8747,-1,13.1253,16.8747
810,855,808,808,2.0748,1,12.9252,17.0748
819,866,820,819,0.07490000000000001,1,14.9251,15.0749
829,878,830,828,-1.0251,0,16.0251,13.9749
834,885,836,836,-1.1252,-1,16.1252,13.8748
841,895,845,845,-2.3255,-3,17.325499999999998,12.6745
849,906,854,856,-2.526,-5,17.526,12.474
859,917,864,867,0.5736,-4,14.4264,15.5736
868,929,873,875,-1.5269,-5,16.5269,13.4731
879,940,883,883,-1.6275,-6,16.6275,13.3725
891,951,894,892,1.5721,-4,13.4279,16.5721
901,961,904,903,-0.4283,-4,15.4283,14.5717
911,971,912,913,2.8716,-1,12.1284,17.8716
919,979,921,924,-0.1285,-1,15.1285,14.8715
928,991,931,934,-1.2287,-2,16.2287,13.7713
939,1003,943,944,-3.5292,-5,18.5292,11.4708
948,1013,954,953,0.5704,-4,14.4296,15.5704
958,1023,963,961,-2.6302000000000003,-6,17.630200000000002,12.3698
968,1033,972,970,2.6694999999999998,-3,12.3305,17.6695
978,1043,978,977,1.8694,-1,13.1306,16.8694
990,1055,989,991,2.0695,1,12.9305,17.0695
1001,1067,1001,999,-1.0305,0,16.0305,13.9695
