Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
3,3,3,4,0.0,0,15.0,15.0
11,10,10,10,1.0002,1,13.9998,16.0002
17,19,15,18,0.5004,1,14.499600000000001,15.500399999999999
20,22,18,20,1.5008,2,13.4992,16.500799999999998
26,28,24,26,0.0010000000000000009,1,14.999,15.001
33,35,31,33,1.5014,2,13.4986,16.5014
40,43,40,41,0.0016000000000000458,1,14.9984,15.0016
47,51,48,49,-0.4984,0,15.4984,14.5016
52,59,55,55,-1.9988000000000001,-2,16.9988,13.0012
61,68,63,64,-1.9994,-3,16.9994,13.0006
69,78,74,72,-1.5,-3,16.5,13.5
81,91,85,82,-2.5008,-4,17.500799999999998,12.4992
87,97,91,88,-2.0016,-4,17.0016,12.9984
97,108,102,97,-1.0022,-3,16.0022,13.9978
103,115,107,103,-3.5032,-5,18.5032,11.4968
110,122,114,108,-0.5038,-3,15.5038,14.4962
118,129,121,116,-2.5046,-4,17.5046,12.4954
126,140,130,126,-1.0052,-3,16.0052,13.9948
136,151,139,135,-1.5058,-3,16.5058,13.4942
145,160,147,143,-0.5062,-2,15.5062,14.4938
155,172,155,150,0.9938,0,14.0062,15.9938
162,179,162,159,0.994,1,14.006,15.994
173,191,175,169,-1.5062,-1,16.5062,13.4938
183,204,187,180,-2.5068,-3,17.5068,12.4932
189,211,194,187,-4.508,-6,19.508,10.492
202,225,206,200,-3.0092,-6,18.0092,11.9908
212,235,216,209,-1.0099999999999998,-4,16.009999999999998,13.99
224,247,225,218,-0.010399999999999965,-2,15.0104,14.9896
231,255,232,225,0.9896,0,14.0104,15.9896
239,260,238,229,-1.0106000000000002,-1,16.0106,13.9894
245,270,246,238,0.4894,0,14.5106,15.4894
254,278,256,246,-1.0108000000000001,-1,16.0108,13.9892
263,288,264,253,-1.5112,-2,16.5112,13.4888
270,296,271,261,-0.011399999999999966,-1,15.0114,14.9886
277,302,276,265,1.4888,1,13.5112,16.4888
287,312,284,272,0.489,1,14.511,15.489
296,323,295,281,1.4893999999999998,2,13.5106,16.4894
309,334,307,290,1.99,3,13.01,16.99
319,344,317,300,-1.51,0,16.51,13.49
322,349,324,305,-0.01,0,15.01,14.99
327,355,331,312,-3.0106,-3,18.0106,11.9894
337,364,341,320,-3.5116,-5,18.5116,11.4884
345,372,348,327,-0.5122,-3,15.5122,14.4878
356,384,357,335,-1.5128,-3,16.5128,13.4872
364,393,365,344,1.4872,0,13.5128,16.4872
