Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,0,0,0.0,0,15.0,15.0
0,1,0,1,0.0,0,15.0,15.0
9,10,9,9,-0.7001,-1,15.700099999999999,14.299900000000001
19,20,20,21,-0.6002,-1,15.6002,14.3998
30,28,33,32,-2.0004999999999997,-3,17.0005,12.999500000000001
42,40,46,44,-2.5009,-4,17.5009,12.4991
53,54,58,55,-3.1014,-5,18.101399999999998,11.8986
63,67,69,65,-3.0019,-5,18.0019,11.9981
78,83,82,79,-3.0024,-5,18.0024,11.9976
96,100,94,91,-1.6026999999999998,-3,16.6027,13.3973
111,117,107,103,1.6975,2,13.3025,16.6975
123,131,118,114,2.5979,4,12.4021,17.5979
133,142,129,123,2.3983,4,12.601700000000001,17.3983
143,154,141,136,1.6985999999999997,3,13.301400000000001,16.6986
158,169,159,150,0.3987,1,14.6013,15.3987
166,177,169,158,-0.8013999999999999,-1,15.8014,14.1986
178,192,183,171,-2.7017999999999995,-4,17.7018,12.298200000000001
186,201,193,179,-3.8024,-6,18.8024,11.1976
193,210,202,186,-5.7033,-9,20.7033,9.296700000000001
206,224,215,200,-4.7041,-8,19.7041,10.2959
218,239,225,209,-4.8049,-8,19.8049,10.1951
231,254,235,220,-2.0053,-4,17.0053,12.9947
244,268,245,229,-1.7055999999999998,-3,16.7056,13.2944
256,285,256,239,0.29440000000000005,0,14.7056,15.2944
269,300,266,248,1.3945999999999998,2,13.6054,16.3946
289,320,283,265,2.595,4,12.405,17.595
300,332,295,275,3.7956,6,11.2044,18.7956
315,346,308,287,4.2963,7,10.703700000000001,19.2963
331,363,326,303,3.4968999999999997,6,11.5031,18.4969
346,379,342,320,2.1973,4,12.8027,17.1973
361,394,358,334,2.3977,4,12.6023,17.3977
377,411,377,351,1.6979999999999997,3,13.302,16.698
388,425,390,364,-1.7022,-2,16.7022,13.2978
400,439,405,377,-1.9024999999999999,-3,16.9025,13.0975
409,449,417,385,-5.3033,-8,20.3033,9.6967
420,460,428,395,-4.104,-7,19.104,10.896
433,476,443,410,-4.9048,-8,19.9048,10.0952
446,489,455,420,-4.8056,-8,19.8056,10.1944
467,509,472,438,-4.106300000000001,-7,19.1063,10.893699999999999
482,526,485,451,-1.4065999999999996,-3,16.4066,13.5934
502,544,499,465,-0.4067,-1,15.4067,14.5933
520,562,511,480,4.2939,6,10.7061,19.2939
529,574,521,489,5.694799999999999,9,9.305200000000001,20.6948
541,586,531,499,5.3957,9,9.6043,20.395699999999998
557,603,547,513,6.096699999999999,10,8.903300000000002,21.0967
568,614,560,524,5.9977,10,9.0023,20.997700000000002
576,623,570,532,3.1982999999999997,6,11.8017,18.1983
587,637,583,546,2.8988,5,12.1012,17.8988
598,648,597,559,0.899,2,14.100999999999999,15.899000000000001
610,663,611,575,0.4991,1,14.5009,15.4991
621,676,625,587,-2.2012,-3,17.2012,12.7988
636,697,645,605,-4.6019000000000005,-7,19.6019,10.3981
647,708,654,615,-4.2026,-7,19.2026,10.7974
664,725,670,631,-4.2033000000000005,-7,19.2033,10.7967
679,742,684,644,-3.5038999999999993,-6,18.503899999999998,11.4961
692,757,698,657,-2.9044,-5,17.9044,12.095600000000001
709,774,712,671,-3.7049999999999996,-6,18.705,11.295
717,785,721,681,-1.5052999999999999,-3,16.5053,13.4947
727,796,731,689,-1.8055999999999999,-3,16.8056,13.1944
738,809,741,699,-1.8058999999999998,-3,16.8059,13.1941
751,824,755,712,-3.2064000000000004,-5,18.206400000000002,11.7936
766,841,769,727,-1.6066999999999998,-3,16.6067,13.3933
781,857,782,739,-1.8069999999999997,-3,16.807,13.193
801,884,805,759,-1.8073,-3,16.8073,13.1927
815,901,819,773,-1.8075999999999999,-3,16.8076,13.1924
828,918,832,785,-3.2081000000000004,-5,18.2081,11.7919
839,929,841,794,-1.6083999999999998,-3,16.6084,13.3916
849,941,849,801,-1.1085999999999998,-2,16.1086,13.8914
859,952,856,809,0.8915000000000001,1,14.1085,15.8915
867,964,867,820,2.6918999999999995,4,12.3081,17.6919
878,974,877,829,0.9921,2,14.0079,15.9921
889,987,887,841,1.1923,2,13.8077,16.1923
906,1005,907,857,-0.20770000000000002,0,15.2077,14.7923
922,1024,925,873,-1.4079,-2,16.4079,13.5921
931,1036,936,882,-2.6083000000000003,-4,17.6083,12.3917
947,1054,951,896,-2.4087,-4,17.4087,12.5913
964,1072,969,913,-3.8093,-6,18.8093,11.1907
978,1088,984,926,-2.9097999999999997,-5,17.9098,12.0902
993,1105,1000,940,-3.7104,-6,18.7104,11.2896
