Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,0,0,0.0,0,15.0,15.0
3,4,4,4,0.0,0,15.0,15.0
7,8,8,8,-2.2002,-2,17.2002,12.7998
11,11,11,12,-0.9003,-1,15.9003,14.0997
17,18,16,16,1.1998,1,13.8002,16.1998
20,22,21,20,0.9999,1,14.0001,15.9999
24,27,25,24,-2.3003,-2,17.3003,12.6997
29,33,30,28,-2.0005,-2,17.0005,12.9995
33,37,35,31,-2.0007,-2,17.000700000000002,12.9993
46,47,46,42,-2.0009,-2,17.0009,12.9991
52,54,52,48,-0.9009999999999999,-1,15.901,14.099
61,63,60,55,2.2992,2,12.700800000000001,17.2992
67,71,65,60,3.0995,3,11.900500000000001,18.0995
74,77,71,66,1.8997,2,13.1003,16.8997
79,83,76,71,4.2001,4,10.799900000000001,19.2001
86,91,82,78,4.0005,4,10.999500000000001,19.0005
92,97,88,83,4.0009,4,10.9991,19.0009
98,104,96,91,1.8011000000000001,2,13.1989,16.8011
107,113,107,101,0.9012000000000001,1,14.0988,15.9012
116,123,116,110,-0.0988,0,15.0988,14.9012
124,131,125,118,-1.0989,-1,16.0989,13.9011
136,143,138,129,-0.999,-1,15.999,14.001
142,150,146,136,-3.1993,-3,18.1993,11.800699999999999
149,159,153,145,-4.0996999999999995,-4,19.0997,10.900300000000001
156,165,161,153,-5.1002,-5,20.1002,9.899799999999999
165,174,168,160,-5.0007,-5,20.000700000000002,9.9993
171,180,175,164,-2.8009999999999997,-3,17.801,12.199
180,189,181,170,-3.0013,-3,18.0013,11.9987
188,198,187,177,-0.8014000000000001,-1,15.801400000000001,14.198599999999999
197,208,198,186,0.09860000000000001,0,14.9014,15.0986
202,214,202,190,-0.0014,0,15.0014,14.9986
210,223,210,199,-0.0014,0,15.0014,14.9986
215,231,217,205,-1.1015000000000001,-1,16.1015,13.8985
224,241,226,214,-1.0016,-1,16.0016,13.9984
231,247,232,219,-3.2019,-3,18.201900000000002,11.7981
238,255,238,225,-0.802,-1,15.802,14.198
246,265,245,235,0.098,0,14.902,15.098
256,275,257,244,-1.1021,-1,16.1021,13.8979
264,282,264,252,-2.1023,-2,17.1023,12.8977
270,289,270,258,-0.9024,-1,15.9024,14.0976
279,299,280,266,1.1977,1,13.8023,16.1977
287,306,285,274,-0.1023,0,15.1023,14.8977
295,314,291,280,4.3981,4,10.6019,19.3981
306,323,303,289,1.7983,2,13.2017,16.7983
316,332,312,298,3.0986000000000002,3,11.901399999999999,18.0986
327,343,325,311,4.099,4,10.901,19.099
337,351,334,321,1.7992000000000001,2,13.2008,16.7992
344,357,342,330,0.8993,1,14.1007,15.8993
351,362,349,336,2.0995,2,12.900500000000001,17.0995
361,372,361,349,-0.2005,0,15.2005,14.7995
365,379,367,355,-1.1006,-1,16.1006,13.8994
374,389,377,362,-2.1008,-2,17.1008,12.8992
379,394,382,367,-4.2012,-4,19.2012,10.7988
387,401,389,373,-2.9015,-3,17.9015,12.0985
394,409,395,381,-1.9017,-2,16.901699999999998,13.0983
403,421,403,388,0.1983,0,14.8017,15.1983
409,427,410,394,-0.0017000000000000001,0,15.0017,14.9983
416,434,416,401,-1.1018000000000001,-1,16.1018,13.8982
419,438,420,405,-1.0019,-1,16.0019,13.9981
426,445,427,412,0.0981,0,14.9019,15.0981
431,452,434,421,-2.2021,-2,17.2021,12.7979
435,459,440,426,-4.202500000000001,-4,19.2025,10.7975
441,466,447,432,-6.2031,-6,21.2031,8.7969
447,472,454,438,-7.1038,-7,22.1038,7.8962
451,478,459,443,-8.1046,-8,23.104599999999998,6.8954
458,486,464,449,-5.8052,-6,20.8052,9.1948
465,494,467,454,-2.7055,-3,17.7055,12.2945
472,501,471,458,0.29450000000000004,0,14.7055,15.2945
482,511,476,462,5.495,5,9.504999999999999,20.495
490,517,481,466,8.2958,8,6.7042,23.2958
500,527,489,474,9.0967,9,5.9033,24.0967
505,533,496,480,8.9976,9,6.0024,23.9976
510,538,504,486,7.8984000000000005,8,7.1015999999999995,22.898400000000002
516,546,512,495,5.7989999999999995,6,9.201,20.799
525,553,523,506,2.6993,3,12.300699999999999,17.6993
534,562,532,519,1.8995,2,13.1005,16.8995
539,567,540,527,-1.3006,-1,16.3006,13.6994
545,573,548,536,-3.2009000000000003,-3,18.2009,11.7991
554,584,560,548,-4.101299999999999,-4,19.1013,10.898700000000002
564,593,571,560,-7.302,-7,22.302,7.698
569,599,575,566,-5.9026000000000005,-6,20.9026,9.0974
579,609,584,576,-4.9031,-5,19.903100000000002,10.0969
588,619,591,583,-5.0036,-5,20.0036,9.996400000000001
597,629,598,589,-0.6037,-1,15.6037,14.3963
609,641,607,597,1.1964,1,13.8036,16.1964
615,648,614,604,0.9965,1,14.0035,15.9965
622,655,620,611,0.9966,1,14.0034,15.9966
632,665,629,621,2.0968,2,12.9032,17.0968
643,677,638,631,4.1972,4,10.802800000000001,19.1972
648,684,645,637,3.9976,4,11.0024,18.9976
658,693,655,646,0.6977,1,14.3023,15.6977
668,702,667,655,2.0979,2,12.9021,17.0979
674,707,673,661,1.9981,2,13.0019,16.9981
682,713,681,668,0.8982,1,14.1018,15.8982
691,723,691,677,0.9983,1,14.0017,15.9983
699,730,698,686,-0.10170000000000001,0,15.1017,14.8983
703,734,704,693,-1.1018000000000001,-1,16.1018,13.8982
710,741,712,700,-3.2021,-3,18.2021,11.7979
716,748,718,707,-0.8022,-1,15.8022,14.1978
721,754,724,715,-3.2025,-3,18.2025,11.7975
730,763,734,725,-5.203,-5,20.203,9.797
737,772,739,730,-2.8032999999999997,-3,17.8033,12.1967
748,781,746,737,0.2967,0,14.7033,15.2967
758,793,753,744,5.4972,5,9.5028,20.4972
765,802,761,751,3.8975999999999997,4,11.1024,18.8976
776,814,772,763,5.0981,5,9.901900000000001,20.0981
784,823,780,772,3.8985,4,11.1015,18.8985
790,830,789,780,1.7987,2,13.2013,16.7987
798,840,799,787,-0.2013,0,15.2013,14.7987
805,848,808,797,-2.2015000000000002,-2,17.2015,12.7985
812,856,815,804,-3.1018,-3,18.1018,11.8982
818,863,821,810,-4.1022,-4,19.1022,10.8978
827,872,828,815,-1.8024000000000002,-2,16.8024,13.1976
835,881,837,826,-0.9025,-1,15.9025,14.0975
843,891,847,837,-3.2028000000000003,-3,18.2028,11.7972
854,901,855,845,-0.8029,-1,15.8029,14.1971
860,909,862,852,-1.003,-1,16.003,13.997
870,920,870,863,0.097,0,14.903,15.097
879,929,878,869,-0.003,0,15.003,14.997
889,938,887,879,1.0971,1,13.9029,16.0971
896,946,893,886,4.2975,4,10.7025,19.2975
903,954,901,893,1.7977,2,13.2023,16.7977
911,963,911,901,1.9979,2,13.0021,16.9979
917,969,917,908,-0.2021,0,15.2021,14.7979
923,978,924,914,-1.1022,-1,16.1022,13.8978
929,984,929,918,0.09780000000000001,0,14.9022,15.0978
935,990,935,924,-0.0022,0,15.0022,14.9978
940,996,942,928,-1.1023,-1,16.1023,13.8977
945,1003,947,932,-2.1025,-2,17.1025,12.8975
950,1008,953,938,-2.0027,-2,17.0027,12.9973
957,1013,959,945,-0.9027999999999999,-1,15.9028,14.0972
964,1022,966,954,-2.103,-2,17.103,12.897
972,1029,972,961,-2.0032,-2,17.0032,12.9968
975,1035,976,967,-0.9033000000000001,-1,15.9033,14.0967
980,1040,982,973,-1.0034,-1,16.0034,13.9966
988,1051,990,981,-3.2037,-3,18.2037,11.7963
995,1058,997,988,-1.9038999999999997,-2,16.9039,13.0961
999,1064,1003,992,-3.1042,-3,18.1042,11.8958
