Encoder 1,Encoder 2,Control Signal 1,Control Signal 2,PID Speed Control,Motor Speed 1,Motor Speed 2
0,0,1500.0,1500.0,0.0,100,100
21,21,999.1000000000001,999.1000000000001,0.0,100,100
31,34,993.4000000000001,993.7,-0.11399999999998273,100,100
51,57,991.5000000000001,989.6,0.7280000000000336,100,100
66,76,987.4000000000001,985.9000000000001,0.5080000000000018,100,100
79,90,983.5000000000001,981.2,0.972000000000037,100,100
98,115,982.4000000000001,979.5000000000001,1.304000000000001,100,100
113,130,976.8,973.3000000000001,1.7039999999999738,100,100
131,150,974.8000000000001,971.0,2.0380000000000424,100,100
150,171,970.5000000000001,966.0,2.5780000000000474,100,100
168,190,966.7,962.2,2.8680000000000083,100,100
180,207,964.4000000000001,958.8000000000001,3.6460000000000283,100,100
198,228,961.0,954.3000000000001,4.401999999999994,100,100
215,247,957.2,950.7,4.752000000000023,100,100
231,267,954.8000000000001,948.1,5.368000000000034,100,100
247,284,950.8000000000001,943.0,6.302000000000041,100,100
262,302,947.8000000000001,940.1,6.778000000000036,100,100
279,324,945.2,936.4000000000001,7.822000000000007,100,100
293,343,942.4000000000001,932.8000000000001,8.72000000000004,100,100
308,361,939.0,928.6,9.712000000000016,100,100
323,378,935.5,924.3000000000001,10.768,100,100
336,395,933.0000000000001,921.0000000000001,11.888000000000028,100,100
353,413,930.5000000000001,918.0,12.958000000000064,100,100
372,434,926.4000000000001,913.9000000000001,13.908000000000019,100,100
385,450,922.8000000000001,910.1,14.984000000000048,100,100
399,469,920.4000000000001,906.6000000000001,16.39800000000001,100,100
419,495,917.3000000000001,902.4000000000001,17.810000000000027,100,100
431,512,914.0,898.1,19.272000000000023,100,100
446,529,911.1,894.2,20.82400000000002,100,100
464,549,907.5,890.8000000000001,22.0,100,100
479,566,904.4,887.2,23.546,100,100
493,584,901.8000000000001,883.3000000000001,25.366000000000017,100,100
510,603,899.0000000000001,880.4,26.754000000000065,100,100
524,620,895.3,875.7,28.611999999999977,100,100
541,645,892.8000000000001,872.7,30.27000000000003,100,100
553,661,890.3000000000001,868.7,32.398000000000025,100,100
571,679,886.2,864.3000000000001,34.09000000000001,100,100
587,696,883.2,861.9000000000001,35.584,100,100
602,717,880.0,857.7,37.72800000000001,100,100
621,739,877.4000000000001,853.6,39.98200000000004,100,100
633,754,873.4000000000001,849.3000000000001,41.85000000000002,100,100
643,766,871.9,846.6,44.20399999999999,100,100
658,789,868.5,842.8000000000001,46.26,100,100
674,814,866.4,839.2,48.846,100,100
688,831,862.8000000000001,834.1000000000001,51.441999999999986,100,100
704,852,859.9000000000001,830.4000000000001,53.892,100,100
715,864,856.9000000000001,827.3,56.21000000000005,100,100
732,883,854.8,823.9,59.06199999999998,100,100
746,904,851.2,820.2,61.442000000000014,100,100
764,925,847.1,815.1000000000001,64.29199999999997,100,100
779,943,844.5,811.7,67.056,100,100
794,961,842.1000000000001,808.8000000000001,69.79000000000002,100,100
809,975,838.9000000000001,805.6,72.40400000000001,100,100
824,994,835.0000000000001,801.8000000000001,75.03000000000002,100,100
839,1011,832.3000000000001,797.9000000000001,78.152,100,100
855,1028,829.6,795.0,80.86000000000003,100,100
872,1047,826.5,791.5,83.76,100,100
889,1067,822.9,787.8000000000001,86.55799999999998,100,100
903,1085,819.8000000000001,783.9000000000001,89.66000000000001,100,100
916,1101,817.2,780.4000000000001,92.79399999999998,100,100
927,1115,814.7,777.1,95.95200000000003,100,100
944,1138,812.1000000000001,773.1,99.41200000000005,100,100
958,1160,808.3,768.4,102.734,100,100
972,1179,805.8000000000001,764.9000000000001,106.21600000000001,100,100
987,1196,803.6,761.1,109.99600000000002,100,100
1004,1216,800.3000000000001,757.9,113.19800000000006,100,100
1018,1238,796.7,753.9000000000001,116.75200000000001,100,100
1029,1251,794.8,750.1,120.85800000000002,100,100
1045,1270,791.5,745.7,124.66200000000002,100,100
1065,1294,788.2,742.4000000000001,128.216,100,100
1080,1317,784.4000000000001,738.5000000000001,131.91800000000003,100,100
1094,1331,780.5000000000001,732.9000000000001,136.22600000000006,100,100
1114,1354,778.2,730.3,139.97800000000004,100,100
1131,1374,774.8000000000001,726.0,144.12200000000007,100,100
1143,1389,771.0000000000001,721.7,148.1260000000001,100,100
1157,1405,768.9000000000001,719.6,152.0200000000001,100,100
1171,1420,766.6,716.5,156.26800000000006,100,100
1189,1443,763.0,712.6000000000001,160.31,100,100
1204,1461,759.5,708.7,164.46400000000008,100,100
1219,1480,757.0000000000001,705.2,168.8680000000001,100,100
1232,1495,753.9000000000001,701.0,173.3300000000001,100,100
1253,1520,750.6,697.6000000000001,177.49000000000004,100,100
1267,1538,746.2,692.5000000000001,181.98600000000005,100,100
1284,1559,744.3000000000001,689.7,186.5540000000001,100,100
1298,1576,741.4000000000001,685.7,191.2500000000001,100,100
1312,1591,738.6,682.2,195.86200000000008,100,100
1329,1615,734.6000000000001,678.6000000000001,200.15200000000007,100,100
1343,1636,731.9000000000001,673.8,205.4700000000001,100,100
1355,1650,729.5000000000001,670.0,210.4400000000001,100,100
1371,1673,726.6,666.3000000000001,215.3640000000001,100,100
1386,1692,723.2,662.2,220.37400000000008,100,100
1398,1707,721.2,659.1,225.60200000000012,100,100
1414,1725,717.9000000000001,655.7,230.4980000000001,100,100
1433,1750,714.0000000000001,650.8,235.8440000000002,100,100
1443,1760,711.3000000000001,647.9,240.87600000000012,100,100
1462,1784,708.9000000000001,644.8000000000001,246.1940000000001,100,100
1473,1799,704.8000000000001,640.1,251.48000000000016,100,100
1487,1816,703.3000000000001,637.4,257.0520000000002,100,100
1504,1841,699.9000000000001,633.0,262.5840000000002,100,100
1517,1855,697.2,629.0,268.33000000000015,100,100
1534,1875,694.4000000000001,626.2,273.6560000000001,100,100
1548,1895,690.7,622.1,279.2640000000002,100,100
1558,1907,688.5000000000001,618.3000000000001,285.3200000000002,100,100
1580,1938,685.9000000000001,614.5000000000001,291.23200000000014,100,100
1589,1949,681.5000000000001,609.5000000000001,297.05200000000013,100,100
1608,1979,680.1,606.6999999999999,303.28400000000016,100,100
1622,1996,675.5000000000001,600.9,309.4720000000002,100,100
1641,2019,672.3,596.5000000000001,315.77600000000007,100,100
1657,2038,669.5,593.6999999999999,321.7200000000002,100,100
1671,2054,666.2,589.7,328.0500000000002,100,100
1689,2073,663.0,585.3,334.5560000000002,100,100
1702,2092,659.2,582.6,340.2340000000002,100,100
1720,2110,656.5,577.6,347.3460000000002,100,100
1737,2132,653.2,575.3000000000001,353.0480000000001,100,100
1750,2144,650.6,570.8000000000001,360.10200000000015,100,100
1766,2163,647.2,568.3000000000001,365.9540000000002,100,100
1785,2186,644.3000000000001,564.6999999999999,372.6220000000002,100,100
1797,2201,640.1,559.5000000000001,379.3000000000001,100,100
2042,2488,638.4,556.1,386.29400000000015,100,100
2052,2501,566.7,473.7,396.77400000000017,100,100
2066,2517,588.3000000000001,497.6,402.2700000000001,100,100
2082,2540,583.5,492.7,409.79400000000015,100,100
2097,2554,581.2,489.40000000000003,417.4280000000002,100,100
2112,2575,577.8,485.8,424.74800000000016,100,100
2125,2588,575.8,482.8,432.4680000000002,100,100
2143,2612,572.2,478.40000000000003,440.1120000000002,100,100
2160,2633,569.0,474.70000000000005,447.7260000000002,100,100
2174,2648,566.4000000000001,470.90000000000003,455.6760000000002,100,100
2191,2673,562.6999999999999,467.1,463.23400000000026,100,100
2851,3451,559.6,463.0,471.2520000000003,100,100
2863,3466,363.20000000000005,231.30000000000004,492.2940000000002,0,100
2877,3481,425.6,304.7,495.1360000000002,0,100
2893,3502,421.40000000000003,299.9,506.13600000000025,0,100
2908,3513,418.1,296.6,515.7960000000002,0,100
2926,3524,415.6,295.70000000000005,524.9080000000002,0,100
2940,3527,411.0,293.90000000000003,533.5960000000002,0,100
2956,3527,409.1,294.5,542.2940000000002,0,100
2971,3527,405.90000000000003,294.6,550.4580000000002,0,100
2988,3527,402.6,294.6,558.4380000000002,0,100
3006,3527,399.1,294.6,566.0780000000002,0,100
3885,3527,395.70000000000005,294.6,573.4960000000003,0,100
3896,3527,134.0,294.6,482.47800000000024,0,100
3911,3527,218.20000000000002,294.6,527.7960000000003,0,100
3927,3527,214.60000000000002,294.6,511.8960000000003,0,100
3942,3527,211.70000000000002,294.6,504.75400000000036,0,100
3960,3527,209.0,294.6,497.3860000000003,0,100
3975,3527,205.0,294.6,489.28800000000024,0,100
3992,3527,202.00000000000003,294.6,481.3800000000002,0,100
4004,3527,198.8,294.6,473.0560000000002,0,100
4021,3527,196.20000000000002,294.6,464.7240000000002,0,100
4041,3527,193.10000000000002,294.6,455.93400000000025,0,100
5410,3527,187.7,294.6,446.07200000000023,0,100
5424,3527,-219.5,294.6,283.3240000000003,0,100
5446,3527,-87.5,294.6,333.0760000000002,0,100
5460,3527,-92.9,294.6,287.2560000000002,0,100
5474,3527,-94.5,294.6,256.18800000000016,0,100
5487,3527,-97.7,294.6,224.00400000000016,0,100
5505,3527,-100.7,294.6,191.80000000000013,0,100
5521,3527,-103.7,294.6,159.33600000000013,0,100
5537,3527,-106.7,294.6,126.63200000000012,0,100
5558,3527,-110.9,294.6,93.23200000000011,0,100
5572,3527,-114.70000000000002,294.6,59.76800000000007,0,100
6949,3527,-117.30000000000001,294.6,26.41600000000009,0,100
