Encoder 1,Encoder 2,Control Signal 1,Control Signal 2,PID Speed Control,Motor Speed 1,Motor Speed 2
0,0,1010.0,1010.0,0.0,100,100
25,24,9.495000000000001,9.596,-0.010301999999999908,29.505302,29.585698
38,41,7.773000000000001,7.673,0.020198999999999696,27.752801,27.693199
54,61,8.559,8.155,0.031206999999999843,28.527793,28.186207
69,79,7.939,7.834000000000001,-0.029286999999999962,27.968287,27.804713000000003
86,96,8.424,7.914,0.04202800000000011,28.381972,27.956028
106,117,8.207,8.197,-0.04896199999999966,28.255962,28.148038
122,133,8.190000000000001,7.978,0.02165199999999981,28.168348,27.999652
135,148,8.172999999999998,8.161000000000001,-0.0187360000000003,28.191736,28.142264
154,167,8.559999999999999,8.346,0.021880000000000163,28.53812,28.36788
166,183,8.042,7.8260000000000005,0.0020980000000002334,28.039902,27.828098
182,199,8.327,8.311,-0.018286000000000302,28.345285999999998,28.292714
198,214,8.413,8.296,0.012032000000000253,28.400968,28.308032
210,227,8.096,8.281,-0.028754999999999975,28.124755,28.252245
225,247,8.887,8.468,0.06286799999999991,28.824132000000002,28.530867999999998
240,266,7.868,7.445,0.0032950000000001264,27.864705,27.448295
261,287,8.455,8.027999999999999,0.0037259999999997677,28.451273999999998,28.031726
275,302,7.734999999999999,7.808999999999999,-0.04734899999999977,27.782349,27.761650999999997
291,320,8.321,8.295,0.012876999999999417,28.308123,28.307877
297,327,8.307,7.877,0.0441110000000007,28.262889,27.921111
306,343,8.899,8.566,-0.005753000000000497,28.904753000000003,28.560247
318,360,8.891,8.353,0.025189999999999817,28.86581,28.37819
337,376,8.176,7.835,-0.014865999999999576,28.190866,27.820134000000003
352,391,7.757,7.715999999999999,-0.025425000000000447,27.782425,27.690575
365,405,8.243,8.302999999999999,-0.005685999999999206,28.248686000000003,28.297313999999997
378,422,8.431000000000001,8.29,0.02485599999999969,28.406144,28.314856
391,440,8.419,7.974,0.03590499999999984,28.383095,28.009905
405,458,8.306,7.756000000000001,0.016659999999999675,28.28934,27.77266
416,470,8.091000000000001,7.8389999999999995,-0.02368599999999948,28.114686,27.815314
428,482,8.177,7.923,0.0065699999999995215,28.17043,27.929570000000002
443,504,8.364999999999998,8.209999999999999,-0.003474000000000036,28.368474,28.206526
455,523,8.353000000000002,7.287999999999999,0.09940100000000036,28.253599,27.387401
469,544,8.24,7.568999999999999,-0.030721999999999843,28.270722000000003,27.538278
482,558,7.924000000000001,7.348000000000001,-0.0003410000000002508,27.924341,27.347659
495,576,8.413,8.337,-0.04126500000000001,28.454265,28.295735
510,593,8.099,7.417,0.0706229999999998,28.028377,27.487623000000003
528,615,8.084999999999999,7.7,-0.01958899999999971,28.104589,27.680411
541,632,7.667000000000001,7.380000000000001,0.0004999999999997368,27.666500000000003,27.3805
552,646,8.254999999999999,7.662999999999999,0.041696999999999956,28.213303,27.704697
569,670,8.445,7.848000000000001,0.012299000000000249,28.432701,27.860298999999998
582,683,7.526,6.9239999999999995,0.012905999999999892,27.513094,26.936906
595,701,8.012,8.011,-0.04829399999999992,28.060294,27.962706
612,722,8.2,7.594,0.07351699999999968,28.126483,27.667517
625,739,7.885,7.274000000000001,0.014132999999999885,27.870866999999997,27.288133000000002
638,756,7.769,7.254,0.004452000000000334,27.764547999999998,27.258452
654,771,8.258000000000001,7.638,0.025277000000000396,28.232723000000004,27.663276999999997
673,788,7.338000000000001,7.521,-0.06650900000000044,27.404509,27.454491
686,805,7.823,7.807,0.0339059999999998,27.789094000000002,27.840906
699,819,7.909000000000001,7.489999999999999,0.05512800000000022,27.853872,27.545128
716,835,7.895,7.776,-0.01535300000000008,27.910353,27.760647
729,849,7.779999999999999,7.5600000000000005,0.0250679999999999,27.754932,27.585068000000003
749,868,7.866,7.645,0.015290000000000114,27.85071,27.66029
762,882,7.246,7.327000000000001,-0.015392999999999971,27.261393,27.311607000000002
775,896,8.135,7.712999999999999,0.06603199999999965,28.068967999999998,27.779032
789,915,7.619,7.598000000000001,-0.02474799999999964,27.643748,27.573252
804,932,7.906,7.179,0.08738499999999957,27.818614999999998,27.266385000000003
819,948,7.59,7.361999999999999,-0.03338599999999954,27.623386,27.328613999999998
836,969,7.978000000000001,7.446,0.0477500000000002,27.93025,27.49375
844,981,7.663,7.329,-0.002314000000000406,27.665314000000002,27.326686
864,999,7.648,7.312,0.018023999999999877,27.629976,27.330024
876,1014,7.633000000000001,7.295000000000001,0.018364000000000238,27.614636,27.313364000000004
891,1027,7.517000000000001,7.5809999999999995,-0.022501999999999755,27.539502000000002,27.558498
905,1041,7.702999999999999,7.567,0.03803399999999957,27.664966,27.605034
