Encoder 1,Encoder 2,PID Speed Control,Motor Speed 1,Motor Speed 2
0,0,0.0,15.0,15.0
0,0,0.0,15.0,15.0
12,13,-6.305428712494177e-11,15.000000003772126,15.000000004264198
26,26,-6.490864379316008e-11,15.000000009955768,15.000000011062308
34,33,1.2178114339178591e-10,15.000000017187222,15.000000017430786
41,40,6.119975104468268e-11,15.000000022811415,15.000000022315634
47,46,6.305410771290099e-11,15.00000002713681,15.00000002602656
58,54,1.2858128783932443e-10,15.000000032634892,15.00000003041934
66,62,7.047225203393737e-11,15.000000038874788,15.000000035924838
71,67,-5.1308711945807774e-11,15.000000042705642,15.00000004013031
78,72,1.3909014739965642e-10,15.000000046842493,15.000000043411601
90,82,1.9163721276527216e-11,15.000000050671494,15.000000047000746
102,94,1.4898101063920422e-10,15.00000005795982,15.000000053312352
117,108,9.334486783529883e-11,15.000000065433602,15.000000060056681
123,114,3.709072515789558e-11,15.000000074144358,15.00000006865493
134,123,1.0570862052361463e-10,15.000000079639348,15.000000073668978
147,136,5.007247949606608e-11,15.000000085876772,15.000000079795129
156,145,1.1930837295892618e-10,15.00000009322568,15.000000086664333
166,153,1.2734487420118512e-10,15.00000010001761,15.000000092854156
177,166,1.9905366421824056e-10,15.00000010550951,15.000000097253114
183,171,-4.203626424725826e-11,15.000000111314208,15.000000103811992
194,180,2.1512613024299298e-10,15.000000116620654,15.000000108396405
206,192,1.6319923901164657e-10,15.000000123472548,15.000000114526266
217,200,1.1065399085907757e-10,15.00000012970688,15.000000120655509
225,207,3.0908935144680074e-10,15.00000013692659,15.000000126417552
235,218,1.3476295990244582e-10,15.000000141428167,15.000000130570477
247,233,-4.3272503802427336e-11,15.000000149024347,15.000000139665122
254,241,8.83994974998359e-11,15.000000155074463,15.00000014659676
262,247,2.2192639548279658e-10,15.000000159886367,15.000000151057536
268,252,2.324350774074446e-10,15.000000164821287,15.000000155395297
277,261,1.805081861760982e-10,15.000000168582286,15.000000159052442
285,269,1.903990458629323e-10,15.000000173517826,15.000000164007764
291,275,2.0028990554976644e-10,15.000000177835187,15.000000168344906
301,284,2.1018076523660055e-10,15.000000182152547,15.000000172682048
305,287,3.4618001798492064e-10,15.000000186961977,15.00000017652712
317,300,1.70617449057886e-10,15.00000019146479,15.000000181296986
325,309,1.7988995182349755e-10,15.000000197019126,15.000000187488046
335,317,2.5159874006419615e-10,15.000000202511027,15.000000193123363
342,326,3.8759799281251616e-10,15.000000209174994,15.000000198822972
348,333,1.4898113676053984e-10,15.000000213122682,15.000000203529785
358,343,2.1945338879447717e-10,15.000000217379462,15.000000208545687
368,353,2.905441789380348e-10,15.000000224108337,15.000000215416744
381,366,2.998165022916055e-10,15.00000023028085,15.000000221607804
394,378,3.090893603285849e-10,15.00000023892608,15.00000023027158
398,383,3.183620407298804e-10,15.000000244480416,15.00000023584446
409,393,3.906890082561176e-10,15.000000248735342,15.000000239625859
417,401,3.387619393890873e-10,15.000000254969056,15.00000024575572
428,412,3.4865279907592143e-10,15.000000261140952,15.000000251947398
437,422,4.2159794588769727e-10,15.000000267867973,15.000000258202132
449,432,3.0723476918126385e-10,15.000000274164123,15.000000264887733
456,440,4.4199766335850657e-10,15.000000280211147,15.000000270586106
466,450,3.276348436997978e-10,15.000000284652762,15.000000275417172
477,461,3.9934345430481247e-10,15.00000029138102,15.000000282288847
484,468,4.092343139916466e-10,15.000000296934738,15.000000287862346
491,477,2.9301678061699476e-10,15.000000300760027,15.000000292691558
497,483,4.2530696298115345e-10,15.000000304954987,15.0000002971511
505,489,4.97015752998209e-10,15.00000030982871,15.00000030155006
513,498,5.075246125585409e-10,15.00000031476363,15.00000030588782
526,512,3.9254343420225267e-10,15.00000032044222,15.000000311954626
537,524,4.6363404315741265e-10,15.000000328407452,15.00000032006204
544,531,4.0985243643376635e-10,15.000000334024843,15.000000326190046
554,544,4.172707601668436e-10,15.000000338344675,15.000000331142894
564,553,2.9796197331677377e-10,15.000000344027592,15.000000338441732
573,560,6.157061189782098e-10,15.000000349891636,15.000000343704905
583,572,5.625426933164591e-10,15.000000356744767,15.000000349833527
595,584,4.457068012442278e-10,15.000000364279746,15.000000357753017
607,596,3.8883448105764274e-10,15.000000370518407,15.000000365114287
621,608,6.447603411174896e-10,15.000000377680625,15.000000371552002
629,617,5.285428059664809e-10,15.000000385833166,15.000000379472107
637,624,5.990152374124592e-10,15.000000390708124,15.000000383869832
649,637,5.452336324651697e-10,15.000000395089158,15.0000003881433
657,646,4.902158501352005e-10,15.000000403180499,15.000000396742784
668,658,4.963974600258326e-10,15.000000408737925,15.000000402930754
677,669,5.019610682666098e-10,15.000000415532329,15.000000410354463
685,677,5.069064972218484e-10,15.000000421090991,15.000000416541196
691,684,5.112339280799461e-10,15.000000424795736,15.000000420872773
700,692,5.779969285413244e-10,15.000000430292582,15.000000426503146
708,702,5.829427163206447e-10,15.000000434614886,15.000000430835343
714,709,4.617793951666727e-10,15.000000439681479,15.000000436895967
723,717,6.521786115598617e-10,15.000000443200154,15.00000044017726
734,726,5.94687934452054e-10,15.000000449439431,15.000000446301557
740,734,5.990150047097132e-10,15.000000455616892,15.00000045248767
749,742,6.033426132034947e-10,15.000000459939814,15.000000456819249
761,755,5.446153998889258e-10,15.000000464325794,15.000000461705952
