Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,2,1,0.0,0,15.0,15.0
0,0,2,1,-1.6202,-2,16.6202,13.3798
0,0,2,1,-0.0204,-2,15.0204,14.9796
1,1,2,1,0.7895000000000001,-1,14.2105,15.7895
3,3,3,2,0.7995000000000001,0,14.2005,15.7995
12,11,11,9,0.8096000000000001,1,14.1904,15.8096
22,21,20,18,0.8198000000000001,2,14.1802,15.8198
27,27,26,22,0.02,2,14.98,15.02
36,38,37,30,-0.7899,1,15.7899,14.2101
44,46,44,35,-2.4201,-2,17.4201,12.5799
54,58,55,45,0.7898000000000001,-1,14.2102,15.7898
61,65,61,53,1.6099,1,13.3901,16.6099
70,73,71,62,0.8201,2,14.1799,15.8201
79,83,80,73,-1.5999,0,16.5999,13.4001
84,88,86,78,-2.4302,-3,17.4302,12.5698
90,96,97,85,-0.8406,-4,15.8406,14.1594
97,105,104,92,-0.8511000000000001,-5,15.8511,14.1489
105,112,110,99,-0.8617,-6,15.8617,14.1383
110,118,116,105,-0.062299999999999994,-6,15.0623,14.9377
116,125,122,110,-0.0629,-6,15.0629,14.9371
123,131,129,116,-0.0635,-6,15.0635,14.9365
129,138,135,123,-0.0641,-6,15.0641,14.9359
138,147,143,130,0.7454000000000001,-5,14.2546,15.7454
146,155,150,136,-0.0551,-5,15.0551,14.9449
152,160,154,140,1.5646,-3,13.4354,16.5646
165,173,167,151,0.7744000000000001,-2,14.2256,15.7744
172,184,175,158,-0.8359000000000001,-3,15.8359,14.1641
179,191,183,165,-0.036199999999999996,-3,15.0362,14.9638
188,198,190,171,0.7736000000000001,-2,14.2264,15.7736
193,205,197,178,-0.8367,-3,15.8367,14.1633
201,214,205,186,-0.8471000000000001,-4,15.8471,14.1529
211,223,214,197,-0.0475,-4,15.0475,14.9525
215,229,220,203,-0.0479,-4,15.0479,14.9521
222,238,228,212,-2.4786,-7,17.4786,12.5214
228,244,234,218,-0.07930000000000001,-7,15.0793,14.9207
233,250,239,223,1.5402,-5,13.4598,16.5402
238,256,244,228,-0.060300000000000006,-5,15.0603,14.9397
245,264,253,235,-1.681,-7,16.681,13.318999999999999
254,274,261,244,-0.8918,-8,15.8918,14.1082
262,280,267,249,0.7175,-7,14.2825,15.7175
271,290,275,258,1.5370000000000001,-5,13.463,16.537
276,296,280,261,0.7466,-4,14.2534,15.7466
285,305,290,271,-0.0538,-4,15.0538,14.9462
292,311,296,280,-0.8643000000000001,-5,15.8643,14.1357
297,320,303,287,-0.0648,-5,15.0648,14.9352
302,325,307,293,-0.8754000000000001,-6,15.8754,14.1246
309,332,315,299,0.7341000000000001,-5,14.2659,15.7341
318,341,324,310,-2.4967000000000006,-8,17.4967,12.5033
325,348,333,318,1.5227000000000002,-6,13.4773,16.5227
332,354,340,325,-1.6981000000000002,-8,16.6981,13.3019
339,364,350,331,-1.7191,-10,16.7191,13.280899999999999
349,373,360,342,-0.9302,-11,15.9302,14.0698
355,380,365,347,0.6788000000000001,-10,14.3212,15.6788
362,389,371,353,-0.9323,-11,15.9323,14.0677
369,397,379,359,1.4868000000000001,-9,13.5132,16.4868
375,405,386,366,-0.9242,-10,15.9242,14.0758
383,413,395,374,-0.9353,-11,15.9353,14.0647
389,419,400,379,-0.1364,-11,15.1364,14.8636
398,427,410,388,0.6726000000000001,-10,14.3274,15.6726
406,435,419,397,-1.7486000000000002,-12,16.7486,13.2514
417,446,429,406,-0.1498,-12,15.1498,14.8502
430,460,439,416,0.6591,-11,14.3409,15.6591
