Right Encoder 1,Right Encoder 2,Left Encoder 1,Left Encoder 2,PID Speed Control,Speed Difference,Motor Speed 1,Motor Speed 2
0,0,0,0,0.0,0,15.0,15.0
0,0,2,2,0.0,0,15.0,15.0
6,4,7,9,-3.0303,-3,18.0303,11.9697
13,11,14,17,1.9896,-1,13.0104,16.9896
20,19,21,27,-0.0105,-1,15.0105,14.9895
33,32,39,42,-2.0308,-3,17.0308,12.9692
40,40,50,49,-5.0816,-8,20.0816,9.9184
55,56,64,64,-0.0824,-8,15.0824,14.9176
62,64,70,71,-0.0832,-8,15.0832,14.9168
74,79,82,84,-1.0941,-9,16.0941,13.905899999999999
80,86,89,90,1.9252,-7,13.0748,16.9252
94,100,101,102,-2.0957,-9,17.0957,12.9043
105,111,110,112,2.9337,-6,12.0663,17.9337
117,123,122,122,-1.077,-7,16.076999999999998,13.923
129,133,135,132,1.9425,-5,13.057500000000001,16.9425
136,141,142,140,-1.0681,-6,16.0681,13.9319
147,154,155,152,-2.0889,-8,17.0889,12.9111
158,168,166,162,-0.0897,-8,15.0897,14.9103
162,174,170,166,-0.0905,-8,15.0905,14.9095
171,183,181,174,-1.1014,-9,16.101399999999998,13.8986
180,194,189,183,-0.1023,-9,15.1023,14.8977
190,203,196,191,1.917,-7,13.083,16.917
204,216,208,203,1.9365,-5,13.0635,16.9365
220,230,224,217,0.9460999999999999,-4,14.0539,15.9461
230,239,236,229,-1.0644,-5,16.0644,13.9356
237,247,243,239,-1.075,-6,16.075,13.925
244,256,254,251,-2.0958,-8,17.0958,12.9042
255,267,265,262,-2.1168,-10,17.1168,12.8832
269,283,279,278,-0.1178,-10,15.1178,14.8822
278,292,290,287,-0.1188,-10,15.1188,14.8812
291,305,299,297,-1.1299000000000001,-11,16.1299,13.8701
298,313,308,305,1.8892,-9,13.1108,16.8892
310,325,318,315,-0.1117,-9,15.1117,14.8883
321,335,328,323,0.8975,-8,14.1025,15.8975
330,345,337,335,1.9169,-6,13.0831,16.9169
340,355,345,345,-1.0938,-7,16.0938,13.9062
348,364,356,355,0.9156,-6,14.0844,15.9156
359,375,366,363,-2.1052,-8,17.1052,12.8948
370,384,375,372,0.9041,-7,14.0959,15.9041
380,394,385,380,1.9236,-5,13.0764,16.9236
390,408,398,393,-2.0971,-7,17.0971,12.902899999999999
399,418,406,403,-1.1078999999999999,-8,16.1079,13.8921
413,432,417,415,1.9115,-6,13.0885,16.9115
421,440,423,422,1.9311,-4,13.0689,16.9311
430,450,431,431,1.9509,-2,13.0491,16.9509
442,464,446,444,0.9608,-1,14.0392,15.9608
450,477,459,457,-4.0797,-5,19.0797,10.920300000000001
461,488,472,468,-6.1408,-11,21.1408,8.859200000000001
470,497,480,481,-0.1419,-11,15.1419,14.8581
483,508,488,489,1.8772,-9,13.1228,16.8772
496,520,499,497,4.9268,-4,10.0732,19.9268
506,530,509,506,0.9365,-3,14.0635,15.9365
516,542,520,515,-1.0739,-4,16.073900000000002,13.9261
530,554,533,528,0.9358,-3,14.0642,15.9358
537,561,538,534,0.9456,-2,14.0544,15.9456
545,570,547,544,0.9555,-1,14.0445,15.9555
554,581,558,557,-2.0648,-3,17.064799999999998,12.9352
563,591,568,566,-3.0954,-6,18.0954,11.9046
572,599,575,573,0.9141,-5,14.0859,15.9141
586,614,591,586,1.9338,-3,13.0662,16.9338
595,622,598,594,-2.0867,-5,17.0867,12.9133
606,633,609,602,2.9431,-2,12.0569,17.9431
618,642,618,612,-2.0773,-4,17.0773,12.922699999999999
631,653,629,620,3.9627,0,11.0373,18.962699999999998
643,667,643,631,0.9728,1,14.0272,15.9728
652,674,652,640,-2.0473,-1,17.0473,12.9527
662,688,665,654,-0.047400000000000005,-1,15.0474,14.9526
670,698,674,663,-2.0677,-3,17.0677,12.9323
682,709,686,674,-2.0882,-5,17.0882,12.9118
692,721,698,686,0.9214,-4,14.0786,15.9214
701,726,702,692,0.9311,-3,14.0689,15.9311
711,737,711,700,1.951,-1,13.049,16.951
721,747,723,709,1.9711,1,13.0289,16.9711
731,757,732,718,-3.0591,-2,18.0591,11.9409
743,769,745,730,0.9508,-1,14.0492,15.9508
753,780,755,740,-0.049300000000000004,-1,15.0493,14.9507
764,790,766,750,-1.0594999999999999,-2,16.0595,13.9405
775,800,775,761,0.9504,-1,14.0496,15.9504
781,806,780,765,1.9705,1,13.0295,16.9705
792,817,789,776,0.9807,2,14.0193,15.9807
807,833,804,786,0.991,3,14.009,15.991
817,842,814,795,-0.008700000000000006,3,15.0087,14.9913
825,851,823,803,-0.008400000000000005,3,15.0084,14.9916
833,857,831,811,-2.0283,1,17.0283,12.9717
846,873,845,827,0.9819,2,14.0181,15.9819
855,881,852,834,0.9922,3,14.0078,15.9922
871,895,868,847,-0.0075,3,15.0075,14.9925
878,903,878,853,-2.0274,1,17.0274,12.9726
884,911,883,859,0.9828,2,14.0172,15.9828
896,924,896,871,-0.017000000000000005,2,15.017,14.983
902,933,904,879,-3.0471,-1,18.0471,11.9529
910,944,913,888,-2.0674,-3,17.0674,12.9326
925,956,926,899,-0.06770000000000001,-3,15.0677,14.9323
935,966,935,909,3.9724,1,11.0276,18.9724
944,976,944,918,-0.027499999999999997,1,15.0275,14.9725
952,984,954,925,-3.0577,-2,18.0577,11.9423
960,995,964,936,-1.068,-3,16.068,13.932
971,1008,977,947,-0.0683,-3,15.0683,14.9317
981,1016,985,953,-3.0989,-6,18.0989,11.9011
990,1024,992,959,2.9308,-3,12.0692,17.9308
998,1034,1000,965,0.9406,-2,14.0594,15.9406
